Invoice ID,Line,Customer ID,Product ID,Size,Color,Unit Price,Quantity,Date,Discount,Line Total,Store ID,Employee ID,Currency,Currency Symbol,SKU,Transaction Type,Payment Method,Invoice Total
INV-US-001-03558761,1,47162,485,M,,80.5,1,1/1/2023 15:42,0,80.5,1,7,USD,$,MASU485-M-,Sale,Cash,126.7
INV-US-001-03558761,2,47162,2779,G,,31.5,1,1/1/2023 15:42,0.4,18.9,1,7,USD,$,CHCO2779-G-,Sale,Cash,126.7
INV-US-001-03558761,3,47162,64,M,NEUTRAL,45.5,1,1/1/2023 15:42,0.4,27.3,1,7,USD,$,MACO64-M-NEUTRAL,Sale,Cash,126.7
INV-US-001-03558762,1,10142,131,M,BLUE,70,1,1/1/2023 20:04,0.4,42,1,6,USD,$,FECO131-M-BLUE,Sale,Cash,77
INV-US-001-03558762,2,10142,716,L,WHITE,26,1,1/1/2023 20:04,0,26,1,6,USD,$,MAT-716-L-WHITE,Sale,Cash,77
INV-US-001-03558762,3,10142,644,,,9,1,1/1/2023 20:04,0,9,1,6,USD,$,MAAC644--,Sale,Cash,77
INV-US-001-03558763,1,8286,1395,M,,95.5,1,1/1/2023 20:47,0,95.5,1,6,USD,$,MASU1395-M-,Sale,Cash,95.5
INV-US-001-03558764,1,1968,1208,M,SILVER,75,1,1/1/2023 8:06,0.4,45,1,9,USD,$,MACO1208-M-SILVER,Sale,Credit Card,72.3
INV-US-001-03558764,2,1968,2639,M,WHITE,45.5,1,1/1/2023 8:06,0.4,27.3,1,9,USD,$,MASW2639-M-WHITE,Sale,Credit Card,72.3
INV-US-001-03558765,1,265336,1822,M,,32,1,1/1/2023 17:25,0.4,19.2,1,12,USD,$,FESW1822-M-,Sale,Credit Card,19.2
INV-US-001-03558766,1,18139,2147,M,,16,1,1/1/2023 10:57,0,16,1,12,USD,$,MASH2147-M-,Sale,Credit Card,16
INV-US-001-03558767,1,14906,2924,XXL,NEUTRAL,54,1,1/1/2023 20:54,0.4,32.4,1,13,USD,$,MACO2924-XXL-NEUTRAL,Sale,Credit Card,32.4
INV-US-001-03558768,1,64777,951,M,,17,1,1/1/2023 19:08,0,17,1,7,USD,$,MASH951-M-,Sale,Credit Card,17
INV-US-001-03558769,1,47155,1770,M,,34,1,1/1/2023 8:26,0.4,20.4,1,13,USD,$,FESW1770-M-,Sale,Credit Card,20.4
INV-US-001-03558770,1,840,1884,XL,,58,1,1/1/2023 16:09,0.4,34.8,1,11,USD,$,MACO1884-XL-,Sale,Credit Card,34.8
RET-US-001-03558764,1,1968,1208,M,SILVER,75,1,1/1/2023 0:00,0,-45,1,9,USD,$,MACO1208-M-SILVER,Return,Credit Card,-72.3
RET-US-001-03558764,2,1968,2639,M,WHITE,45.5,1,1/1/2023 0:00,0,-27.3,1,9,USD,$,MASW2639-M-WHITE,Return,Credit Card,-72.3
INV-US-001-03558771,1,34586,636,M,,70,1,1/1/2023 11:12,0.4,42,1,6,USD,$,MACO636-M-,Sale,Credit Card,42
INV-US-001-03558772,1,2597,235,M,GREEN,35,1,1/1/2023 20:27,0.4,21,1,13,USD,$,FECO235-M-GREEN,Sale,Cash,21
INV-US-001-03558773,1,62769,2768,L,RED,61,1,1/1/2023 19:37,0.4,36.6,1,12,USD,$,MACO2768-L-RED,Sale,Cash,122.6
INV-US-001-03558773,2,62769,264,L,,39,1,1/1/2023 19:37,0,39,1,12,USD,$,FESH264-L-,Sale,Cash,122.6
INV-US-001-03558773,3,62769,2954,38,,47,1,1/1/2023 19:37,0,47,1,12,USD,$,MAPA2954-38-,Sale,Cash,122.6
INV-US-001-03558774,1,13166,105,M,YELLOW,45,3,1/1/2023 14:43,0.4,81,1,9,USD,$,FECO105-M-YELLOW,Sale,Cash,81
INV-US-001-03558775,1,77051,1431,M,WHITE,70.5,1,1/1/2023 19:59,0.4,42.3,1,13,USD,$,FECO1431-M-WHITE,Sale,Credit Card,42.3
INV-US-001-03558776,1,109863,2929,L,,87,1,1/1/2023 20:05,0,87,1,6,USD,$,MASU2929-L-,Sale,Cash,87
INV-US-001-03558777,1,58395,2135,M,BLUE,32,1,1/1/2023 17:59,0,32,1,8,USD,$,FEDR2135-M-BLUE,Sale,Credit Card,32
INV-US-001-03558778,1,28912,1141,P,SILVER,39.5,1,1/1/2023 20:45,0.4,23.7,1,8,USD,$,CHCO1141-P-SILVER,Sale,Cash,23.7
INV-US-001-03558779,1,30461,2887,S,,50,1,1/1/2023 20:16,0.4,30,1,12,USD,$,FECO2887-S-,Sale,Credit Card,30
INV-US-001-03558780,1,38081,1416,XXL,TURQUOISE,76,1,1/1/2023 19:52,0.4,45.6,1,13,USD,$,MACO1416-XXL-TURQUOISE,Sale,Credit Card,45.6
INV-US-001-03558781,1,48979,766,M,,56.5,1,1/1/2023 8:22,0.4,33.9,1,12,USD,$,MACO766-M-,Sale,Credit Card,33.9
